"neighbourhood_group","date","m2_price","inflation","HICP","population_density","listings_count","minimum_nights","nigth_price","availability_365","listing_reviews","number_of_reviews","reviews_per_month","hosts_count","Private_room","Entire_home","Hotel_room","Shared_room"
"Hortaleza",2012-07-01,10.9,-0.2,2.2,799,2,1.5,104.5,343,2,92.5,0.625,2,1,1,0,0
"Hortaleza",2012-08-01,10.8,0.6,2.7,799,3,2,136.666666666667,326.333333333333,4,127.333333333333,0.83,3,2,1,0,0
"Hortaleza",2012-09-01,10.7,1,3.5,799,2,2,104.5,329.5,2,172.5,1.13,2,1,1,0,0
"Hortaleza",2012-10-01,10.7,0.8,3.5,799,3,2,156.333333333333,325.333333333333,3,107,0.716666666666667,2,1,2,0,0
"Hortaleza",2012-11-01,10.7,-0.1,3,799,2,2.5,167.5,310.5,3,169.5,1.1,2,1,1,0,0
"Villaverde",2012-01-01,8.8,-1.1,2,799,1,1,24,0,2,97,0.6,1,1,0,0,0
"Villaverde",2012-02-01,8.7,0.1,1.9,799,1,1,24,0,1,97,0.6,1,1,0,0,0
"Villaverde",2012-03-01,8.7,0.7,1.8,799,1,1,24,0,3,97,0.6,1,1,0,0,0
"Villaverde",2012-04-01,8.6,1.4,2,799,1,1,24,0,3,97,0.6,1,1,0,0,0
"Villaverde",2012-05-01,8.5,-0.1,1.9,799,1,1,24,0,3,97,0.6,1,1,0,0,0
"Villaverde",2012-07-01,8.5,-0.2,2.2,799,1,1,24,0,2,97,0.6,1,1,0,0,0
"Villaverde",2012-11-01,8.5,-0.1,3,799,1,1,24,0,1,97,0.6,1,1,0,0,0
"Barajas",2012-10-01,10.3,0.8,3.5,799,2,1,98,64,5,460,3.17,2,1,1,0,0
"Barajas",2012-11-01,10.1,-0.1,3,799,2,1,98,64,2,460,3.17,2,1,1,0,0
"Centro",2013-01-01,13.6,-1.3,2.8,795,47,6.4468085106383,104.695652173913,164.914893617021,92,339.893617021277,2.28957446808511,44,6,41,0,0
"Centro",2013-02-01,13.6,0.2,2.9,795,39,7.28205128205128,97.8157894736842,161.333333333333,86,374.230769230769,2.5225641025641,37,4,35,0,0
"Centro",2013-03-01,13.6,0.4,2.6,795,42,6.90476190476191,112.35,172.071428571429,128,394.880952380952,2.66880952380952,40,5,37,0,0
"Centro",2013-04-01,13.6,0.4,1.5,795,62,6.2258064516129,108.672413793103,166.370967741935,173,353.290322580645,2.40725806451613,55,6,56,0,0
"Centro",2013-05-01,13.5,0.2,1.8,795,72,8.47222222222222,103.55223880597,163.930555555556,211,336.666666666667,2.30319444444444,64,8,64,0,0
"Centro",2013-06-01,13.3,0.1,2.2,795,80,6.45,110.842105263158,168.5875,227,333.15,2.285375,74,10,70,0,0
"Centro",2013-07-01,13.3,-0.5,1.9,795,79,5.58227848101266,110.773333333333,175.708860759494,188,352,2.43329113924051,69,10,69,0,0
"Centro",2013-08-01,13.3,0.3,1.6,795,59,6.15254237288136,110.327272727273,173.881355932203,149,385.440677966102,2.6735593220339,51,9,50,0,0
"Centro",2013-09-01,13.3,-0.2,0.5,795,90,6.32222222222222,108.305882352941,180.111111111111,271,344.811111111111,2.40933333333333,72,12,78,0,0
"Centro",2013-10-01,13.3,0.4,0,795,101,5.42574257425743,117.873684210526,181.920792079208,327,348.029702970297,2.4449504950495,80,15,86,0,0
"Centro",2013-11-01,13.3,0.2,0.3,795,105,5.77142857142857,119.463917525773,178.980952380952,258,334.571428571429,2.36685714285714,80,15,90,0,0
"Centro",2013-12-01,13.2,0.1,0.3,795,101,3.5049504950495,135.34375,186.366336633663,221,344.643564356436,2.44306930693069,77,15,86,0,0
"Arganzuela",2013-02-01,11.4,0.2,2.9,795,1,5,40,157,3,199,1.41,1,1,0,0,0
"Arganzuela",2013-03-01,11.4,0.4,2.6,795,2,4,94.5,150.5,2,110.5,0.785,2,1,1,0,0
"Arganzuela",2013-04-01,11.3,0.4,1.5,795,2,3.5,96,60,5,87,0.625,2,0,2,0,0
"Arganzuela",2013-05-01,11.3,0.2,1.8,795,3,4.66666666666667,56.3333333333333,106,5,136.333333333333,0.953333333333333,2,2,1,0,0
"Arganzuela",2013-06-01,11.2,0.1,2.2,795,2,4,43,191,2,320.5,2.32,2,2,0,0,0
"Arganzuela",2013-07-01,11.2,-0.5,1.9,795,5,2.8,123,108.4,9,165.6,1.212,5,0,5,0,0
"Arganzuela",2013-08-01,11.1,0.3,1.6,795,3,2.66666666666667,123,51.3333333333333,10,239,1.75,3,0,3,0,0
"Arganzuela",2013-09-01,11,-0.2,0.5,795,5,5.6,97.8,207.4,11,313,2.306,5,1,4,0,0
"Arganzuela",2013-10-01,11,0.4,0,795,4,3.5,83.25,205.25,7,414,3.0375,4,2,2,0,0
"Arganzuela",2013-11-01,11,0.2,0.3,795,5,6.2,68.4,166,7,283.4,2.054,4,3,2,0,0
"Arganzuela",2013-12-01,10.9,0.1,0.3,795,4,3.75,59.75,138.5,18,243.25,1.7575,3,3,1,0,0
"Retiro",2013-01-01,11.7,-1.3,2.8,795,2,15.5,75,138,2,198,1.38,2,1,1,0,0
"Retiro",2013-02-01,11.8,0.2,2.9,795,2,1.5,78,181,3,225,1.53,2,1,1,0,0
"Retiro",2013-03-01,11.7,0.4,2.6,795,4,8.5,76.75,160.25,6,361.75,2.535,3,2,2,0,0
"Retiro",2013-04-01,11.7,0.4,1.5,795,2,15.5,75,138,4,198,1.38,2,1,1,0,0
"Retiro",2013-05-01,11.7,0.2,1.8,795,2,15.5,75,138,8,198,1.38,2,1,1,0,0
"Retiro",2013-06-01,11.6,0.1,2.2,795,4,9.25,121.5,141,6,182.25,1.2875,3,2,2,0,0
"Retiro",2013-07-01,11.6,-0.5,1.9,795,3,12,151.333333333333,102,6,180,1.27,3,1,2,0,0
"Retiro",2013-08-01,11.6,0.3,1.6,795,4,9.5,144.5,102.5,8,200.25,1.3825,4,1,3,0,0
"Retiro",2013-09-01,11.6,-0.2,0.5,795,4,9.5,144.5,102.5,5,200.25,1.3825,4,1,3,0,0
"Retiro",2013-10-01,11.6,0.4,0,795,4,9.25,121.75,141.75,10,332.5,2.3675,3,2,2,0,0
"Retiro",2013-11-01,11.8,0.2,0.3,795,3,12,151.333333333333,102,6,180,1.27,3,1,2,0,0
"Retiro",2013-12-01,11.8,0.1,0.3,795,4,3,125.333333333333,119,5,149.75,1.1,4,2,2,0,0
"Salamanca",2013-01-01,13.9,-1.3,2.8,795,1,32,149,222,1,42,0.28,1,0,1,0,0
"Salamanca",2013-03-01,13.8,0.4,2.6,795,2,3.5,30,70.5,2,151,0.98,2,1,1,0,0
"Salamanca",2013-04-01,13.7,0.4,1.5,795,2,3.5,30,70.5,4,151,0.98,2,1,1,0,0
"Salamanca",2013-05-01,13.6,0.2,1.8,795,2,17.5,149,111,2,73.5,0.465,2,0,2,0,0
"Salamanca",2013-06-01,13.4,0.1,2.2,795,4,11,98,98.25,6,86.5,0.5625,4,1,3,0,0
"Salamanca",2013-08-01,13.4,0.3,1.6,795,1,3,135,222,1,76,0.56,1,0,1,0,0
"Salamanca",2013-09-01,13.6,-0.2,0.5,795,3,13.3333333333333,133,158,6,40,0.283333333333333,3,0,3,0,0
"Salamanca",2013-10-01,13.6,0.4,0,795,4,3,147,202.5,7,79.25,0.56,4,0,4,0,0
"Salamanca",2013-11-01,13.6,0.2,0.3,795,3,3.66666666666667,122,178.666666666667,6,93.3333333333333,0.653333333333333,3,0,3,0,0
"Salamanca",2013-12-01,13.6,0.1,0.3,795,6,13.1666666666667,109.8,168.166666666667,10,80.6666666666667,0.548333333333333,6,2,4,0,0
"Chamartín",2013-03-01,12.5,0.4,2.6,795,1,2,85,45,1,90,0.64,1,0,1,0,0
"Chamartín",2013-07-01,12.2,-0.5,1.9,795,1,2,85,45,1,90,0.64,1,0,1,0,0
"Chamartín",2013-11-01,12.1,0.2,0.3,795,2,1.5,85,22.5,6,82,0.575,2,1,1,0,0
"Chamartín",2013-12-01,12.1,0.1,0.3,795,1,2,85,45,1,90,0.64,1,0,1,0,0
"Tetuán",2013-02-01,11.7,0.2,2.9,795,1,31,145,72,1,32,0.23,1,0,1,0,0
"Tetuán",2013-03-01,11.6,0.4,2.6,795,1,31,145,72,2,32,0.23,1,0,1,0,0
"Tetuán",2013-04-01,11.5,0.4,1.5,795,2,16,113,192.5,4,301.5,2.165,2,0,2,0,0
"Tetuán",2013-05-01,11.5,0.2,1.8,795,2,2,81,157.5,5,337,2.41,2,0,2,0,0
"Tetuán",2013-06-01,11.5,0.1,2.2,795,1,1,81,313,1,571,4.1,1,0,1,0,0
"Tetuán",2013-07-01,11.5,-0.5,1.9,795,2,17,145,37,2,67.5,0.475,2,0,2,0,0
"Tetuán",2013-08-01,11.3,0.3,1.6,795,3,11.6666666666667,113,129,4,235.333333333333,1.68333333333333,3,0,3,0,0
"Tetuán",2013-09-01,11.3,-0.2,0.5,795,2,2,81,157.5,4,337,2.41,2,0,2,0,0
"Tetuán",2013-10-01,11.3,0.4,0,795,2,2,81,157.5,4,337,2.41,2,0,2,0,0
"Tetuán",2013-11-01,11.3,0.2,0.3,795,1,1,81,313,3,571,4.1,1,0,1,0,0
"Tetuán",2013-12-01,11.2,0.1,0.3,795,2,1,105.5,243,2,320.5,2.315,2,0,2,0,0
"Chamberí",2013-01-01,13.5,-1.3,2.8,795,2,2.5,135,49.5,3,274,1.765,2,0,2,0,0
"Chamberí",2013-02-01,13.6,0.2,2.9,795,2,2.5,135,49.5,4,274,1.765,2,0,2,0,0
"Chamberí",2013-03-01,13.5,0.4,2.6,795,2,14,135,49.5,3,133,0.9,2,1,1,0,0
"Chamberí",2013-04-01,13.4,0.4,1.5,795,3,3,122.5,33.3333333333333,5,200,1.3,3,0,3,0,0
"Chamberí",2013-06-01,13.3,0.1,2.2,795,5,2.4,94.25,166.4,8,151,1.006,5,2,3,0,0
"Chamberí",2013-07-01,13.3,-0.5,1.9,795,6,5.83333333333333,106.5,81,10,161.333333333333,1.07,5,2,4,0,0
"Chamberí",2013-08-01,13.3,0.3,1.6,795,3,9.66666666666667,106.5,154.666666666667,9,136.333333333333,0.946666666666667,3,2,1,0,0
"Chamberí",2013-09-01,13.3,-0.2,0.5,795,6,6.16666666666667,101,177.666666666667,9,107.166666666667,0.765,6,4,2,0,0
"Chamberí",2013-10-01,13.3,0.4,0,795,6,2.66666666666667,117.333333333333,199.166666666667,10,123.166666666667,0.888333333333333,6,3,3,0,0
"Chamberí",2013-11-01,13.3,0.2,0.3,795,5,7.2,86.3333333333333,148.8,11,99.8,0.704,4,4,1,0,0
"Chamberí",2013-12-01,13.3,0.1,0.3,795,7,6.14285714285714,113.6,124.857142857143,12,140,0.958571428571429,7,3,4,0,0
"Latina",2013-01-01,8.9,-1.3,2.8,795,1,3,30,50,1,260,1.78,1,1,0,0,0
"Latina",2013-03-01,8.8,0.4,2.6,795,2,3,30,25,2,135,0.925,1,2,0,0,0
"Latina",2013-04-01,8.7,0.4,1.5,795,3,2.66666666666667,30,16.6666666666667,4,160.333333333333,1.12333333333333,1,3,0,0,0
"Latina",2013-05-01,8.7,0.2,1.8,795,1,3,30,50,3,260,1.78,1,1,0,0,0
"Latina",2013-06-01,8.6,0.1,2.2,795,2,2.5,30,25,4,235.5,1.65,1,2,0,0,0
"Latina",2013-08-01,8.7,0.3,1.6,795,2,2.5,30,25,2,235.5,1.65,1,2,0,0,0
"Latina",2013-09-01,8.7,-0.2,0.5,795,3,2.66666666666667,43.5,46.6666666666667,6,180.666666666667,1.27666666666667,2,3,0,0,0
"Latina",2013-10-01,8.7,0.4,0,795,3,2.66666666666667,43.5,46.6666666666667,7,180.666666666667,1.27666666666667,2,3,0,0,0
"Latina",2013-12-01,8.4,0.1,0.3,795,2,2,62,45,2,145.5,1.065,2,2,0,0,0
"Usera",2013-02-01,8.7,0.2,2.9,795,1,4,45,298,1,87,0.6,1,1,0,0,0
"Usera",2013-05-01,8.5,0.2,1.8,795,1,4,45,298,1,87,0.6,1,1,0,0,0
"Puente de Vallecas",2013-05-01,8.8,0.2,1.8,795,2,92,31,134,4,81.5,0.59,2,2,0,0,0
"Puente de Vallecas",2013-12-01,8.4,0.1,0.3,795,1,2,36,85,1,182,1.39,1,1,0,0,0
"Moratalaz",2013-03-01,8.6,0.4,2.6,795,1,3,190,77,1,194,1.39,1,0,1,0,0
"Moratalaz",2013-04-01,8.6,0.4,1.5,795,1,3,190,77,1,194,1.39,1,0,1,0,0
"Moratalaz",2013-12-01,8.1,0.1,0.3,795,1,3,190,77,1,194,1.39,1,0,1,0,0
"Ciudad Lineal",2013-10-01,10,0.4,0,795,1,5,60,41,1,136,1.02,1,0,1,0,0
"Ciudad Lineal",2013-11-01,10,0.2,0.3,795,1,5,60,41,1,136,1.02,1,0,1,0,0
"Hortaleza",2013-01-01,10.6,-1.3,2.8,795,1,3,260,290,1,136,0.9,1,0,1,0,0
"Hortaleza",2013-02-01,10.6,0.2,2.9,795,1,1,75,358,1,43,0.29,1,1,0,0,0
"Hortaleza",2013-04-01,10.9,0.4,1.5,795,1,2,75,331,1,203,1.3,1,1,0,0,0
"Hortaleza",2013-05-01,10.7,0.2,1.8,795,4,2,136,326.75,4,131,0.8625,3,2,2,0,0
"Hortaleza",2013-06-01,10.5,0.1,2.2,795,2,2.5,197,309,2,139,0.93,1,0,2,0,0
"Hortaleza",2013-07-01,10.4,-0.5,1.9,795,1,3,260,290,1,136,0.9,1,0,1,0,0
"Hortaleza",2013-08-01,10.3,0.3,1.6,795,1,3,260,290,1,136,0.9,1,0,1,0,0
"Hortaleza",2013-11-01,10.2,0.2,0.3,795,1,2,134,328,1,142,0.96,1,0,1,0,0
"Hortaleza",2013-12-01,10.2,0.1,0.3,795,2,2,104.5,329.5,2,172.5,1.13,2,1,1,0,0
"Villaverde",2013-03-01,8.2,0.4,2.6,795,1,1,24,0,1,97,0.6,1,1,0,0,0
"Villaverde",2013-05-01,8,0.2,1.8,795,1,1,24,0,1,97,0.6,1,1,0,0,0
"Barajas",2013-01-01,10.2,-1.3,2.8,795,2,1,98,64,2,460,3.17,2,1,1,0,0
"Barajas",2013-05-01,9.8,0.2,1.8,795,3,1.33333333333333,117,108.666666666667,6,397,2.76666666666667,3,1,2,0,0
"Barajas",2013-06-01,9.8,0.1,2.2,795,2,1.5,117,163,2,498.5,3.48,2,0,2,0,0
"Barajas",2013-08-01,9.7,0.3,1.6,795,1,2,136,198,1,271,1.96,1,0,1,0,0
"Barajas",2013-10-01,9.7,0.4,0,795,2,1,98,64,2,460,3.17,2,1,1,0,0
"Barajas",2013-11-01,9.7,0.2,0.3,795,2,1,98,64,2,460,3.17,2,1,1,0,0
"Barajas",2013-12-01,9.5,0.1,0.3,795,2,1,98,64,3,460,3.17,2,1,1,0,0
"Centro",2014-01-01,13.3,-1.3,0.3,795,119,6.08403361344538,131.917431192661,184.571428571429,266,319.235294117647,2.26344537815126,92,16,103,0,0
"Centro",2014-02-01,13.3,0,0.1,795,99,5.36363636363636,130.989361702128,180.808080808081,221,353.717171717172,2.50989898989899,78,14,85,0,0
"Centro",2014-03-01,13.3,0.2,-0.2,795,115,6.03478260869565,129.926605504587,189.530434782609,338,328.669565217391,2.34947826086957,89,19,96,0,0
"Centro",2014-04-01,13.3,0.9,0.3,795,146,8.95205479452055,129.820895522388,181.561643835616,401,305.767123287671,2.1986301369863,114,19,127,0,0
"Centro",2014-05-01,13.4,0,0.2,795,153,8.83006535947712,128.915492957746,184.490196078431,434,298.823529411765,2.15575163398693,119,22,131,0,0
"Centro",2014-06-01,13.4,0,0,795,162,7.15432098765432,133,180.864197530864,477,311.154320987654,2.26185185185185,123,28,134,0,0
"Centro",2014-07-01,13.5,-0.9,-0.4,795,163,4.31901840490798,133.006756756757,171.306748466258,485,324.60736196319,2.37306748466258,124,28,135,0,0
"Centro",2014-08-01,13.5,0.2,-0.5,795,133,4.54887218045113,131.266666666667,173.699248120301,407,347.406015037594,2.54285714285714,97,28,105,0,0
"Centro",2014-09-01,13.7,0.2,-0.3,795,224,6.36607142857143,127.241379310345,166.0625,697,289,2.15107142857143,167,42,182,0,0
"Centro",2014-10-01,13.8,0.5,-0.2,795,241,8.2448132780083,128.285046728972,165.174273858921,812,285.763485477178,2.1397510373444,178,41,200,0,0
"Centro",2014-11-01,13.7,-0.1,-0.5,795,206,6.33495145631068,126.349462365591,163.111650485437,620,313.985436893204,2.34543689320388,150,32,174,0,0
"Centro",2014-12-01,13.7,-0.6,-1.1,795,249,9.12048192771084,128.318181818182,168.353413654618,649,289.775100401606,2.19638554216867,185,41,208,0,0
"Arganzuela",2014-01-01,10.9,-1.3,0.3,795,8,4.75,77.1666666666667,136.5,19,199.625,1.45625,7,3,5,0,0
"Arganzuela",2014-02-01,11,0,0.1,795,7,5.14285714285714,79.5714285714286,198.285714285714,12,232.285714285714,1.70285714285714,6,3,4,0,0
"Arganzuela",2014-03-01,11,0.2,-0.2,795,5,3.4,59,121.2,20,215.4,1.566,4,3,2,0,0
"Arganzuela",2014-04-01,11.1,0.9,0.3,795,9,3.11111111111111,101.875,181.777777777778,26,186.888888888889,1.37222222222222,8,3,6,0,0
"Arganzuela",2014-05-01,11.1,0,0.2,795,9,4.44444444444444,81.5,165.555555555556,19,181.111111111111,1.32888888888889,8,4,5,0,0
"Arganzuela",2014-06-01,11,0,0,795,9,3.22222222222222,66.2222222222222,168.222222222222,26,241,1.80888888888889,8,5,4,0,0
"Arganzuela",2014-07-01,11,-0.9,-0.4,795,9,3.11111111111111,77.2222222222222,175.222222222222,29,236.222222222222,1.77777777777778,8,5,4,0,0
"Arganzuela",2014-08-01,11,0.2,-0.5,795,9,3.22222222222222,61,168.666666666667,35,332.444444444444,2.51111111111111,7,6,3,0,0
"Arganzuela",2014-09-01,11.1,0.2,-0.3,795,16,3.5,76.2666666666667,211.4375,57,223.5,1.705,13,10,6,0,0
"Arganzuela",2014-10-01,11.1,0.5,-0.2,795,17,5.17647058823529,73.0666666666667,168.764705882353,64,207.529411764706,1.59117647058824,16,8,9,0,0
"Arganzuela",2014-11-01,11.1,-0.1,-0.5,795,14,3.92857142857143,68.75,163.285714285714,39,240.785714285714,1.82714285714286,12,7,7,0,0
"Arganzuela",2014-12-01,11.3,-0.6,-1.1,795,13,2.92307692307692,70.7272727272727,165.692307692308,46,249.692307692308,1.91,12,7,6,0,0
"Retiro",2014-01-01,11.7,-1.3,0.3,795,3,2.33333333333333,74.5,108.333333333333,7,166,1.13333333333333,3,1,2,0,0
"Retiro",2014-02-01,11.7,0,0.1,795,4,9.25,94,105,5,313,2.195,4,1,3,0,0
"Retiro",2014-03-01,11.7,0.2,-0.2,795,6,7,134.833333333333,125,15,285.833333333333,2.05,6,2,4,0,0
"Retiro",2014-04-01,11.7,0.9,0.3,795,5,8,203,111,21,289,2.044,5,1,4,0,0
"Retiro",2014-05-01,11.7,0,0.2,795,3,11,94,140,16,410.333333333333,2.87333333333333,3,1,2,0,0
"Retiro",2014-06-01,11.7,0,0,795,6,7,141.833333333333,164.166666666667,15,268,1.88833333333333,5,2,4,0,0
"Retiro",2014-07-01,11.7,-0.9,-0.4,795,4,9.5,127.5,102,11,170.25,1.2375,4,2,2,0,0
"Retiro",2014-08-01,11.8,0.2,-0.5,795,6,7.5,163.6,120.666666666667,10,139.833333333333,0.971666666666667,6,1,5,0,0
"Retiro",2014-09-01,11.9,0.2,-0.3,795,12,4.58333333333333,153.7,173.583333333333,41,226.083333333333,1.6725,10,6,6,0,0
"Retiro",2014-10-01,12,0.5,-0.2,795,13,4.38461538461539,134.363636363636,140.076923076923,37,221.153846153846,1.67615384615385,11,7,6,0,0
"Retiro",2014-11-01,12.1,-0.1,-0.5,795,10,2.6,130,141.3,15,241.3,1.865,9,4,6,0,0
"Retiro",2014-12-01,12,-0.6,-1.1,795,11,2.63636363636364,198.666666666667,160.454545454545,26,219.272727272727,1.67545454545455,11,3,8,0,0
"Salamanca",2014-01-01,13.6,-1.3,0.3,795,4,12,127,223.25,5,95.5,0.67,4,1,3,0,0
"Salamanca",2014-02-01,13.6,0,0.1,795,4,10.5,104.666666666667,146.25,8,105,0.7,4,1,3,0,0
